timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-07-03,223338.91409200,228904.54800000,222997.89154200,227272.01652000,30617.02000000,31380.00000000,30570.27000000,31156.20000000,43761.64311000,43761.64311000
2023-07-02,223111.90614000,224608.02860000,219968.66300000,223338.98703800,30585.90000000,30791.00000000,30155.00000000,30617.03000000,23286.41019000,23286.41019000
2023-07-01,222280.97825400,223664.10736000,221176.42992200,223111.90614000,30471.99000000,30661.60000000,30320.57000000,30585.90000000,17501.75075000,17501.75075000
2023-06-30,222100.94752600,228189.67720000,215190.70000000,222281.05120000,30447.31000000,31282.00000000,29500.00000000,30472.00000000,89419.07618000,89419.07618000
2023-06-29,219402.60204000,224994.49650800,219202.58410800,222100.94752600,30077.40000000,30843.98000000,30049.98000000,30447.31000000,36330.62903000,36330.62903000
2023-06-28,223889.07282400,224015.26940400,217808.00248000,219402.67498600,30692.44000000,30709.74000000,29858.80000000,30077.41000000,40463.51937000,40463.51937000
2023-06-27,220792.87985400,226095.90816200,220487.81968200,223889.07282400,30267.99000000,30994.97000000,30226.17000000,30692.44000000,42699.64157000,42699.64157000
2023-06-26,222212.99258200,223696.20360000,218327.37800000,220792.87985400,30462.67000000,30666.00000000,29930.00000000,30267.99000000,45180.41489000,45180.41489000
2023-06-25,222685.46382400,226468.22454600,220862.17855400,222212.91963600,30527.44000000,31046.01000000,30277.49000000,30462.66000000,30223.44801000,30223.44801000
2023-06-24,223860.40504600,224673.68000000,220661.65000000,222685.39087800,30688.51000000,30800.00000000,30250.00000000,30527.43000000,30513.30135000,30513.30135000
2023-06-23,217998.53743200,229283.42952400,217379.08000000,223860.33210000,29884.92000000,31431.94000000,29800.00000000,30688.50000000,73931.89635000,73931.89635000
2023-06-22,218793.42999400,222485.30000000,215377.51470600,217998.53743200,29993.89000000,30500.00000000,29525.61000000,29884.92000000,59054.56460000,59054.56460000
2023-06-21,206495.53680000,224673.68000000,206130.73385400,218793.42999400,28308.00000000,30800.00000000,28257.99000000,29993.89000000,108926.40412000,108926.40412000
2023-06-20,195818.79551000,207186.62720400,194415.67920000,206495.46385400,26844.35000000,28402.74000000,26652.00000000,28307.99000000,69666.95525000,69666.95525000
2023-06-19,192139.61810800,197450.88931400,191531.46730600,195818.79551000,26339.98000000,27068.09000000,26256.61000000,26844.35000000,35872.65974000,35872.65974000
